"999","13","Uygulama yüklenirken internet bağlantısından ötürü bir hata oluşmuş lütfen kaldırıp yeniden yükler misin?","2012-01-30 11:39:21","Hemen","Olur böyle","Hımm bi düşüneyim","Küstüm bi daha yüklemem","A","0"
"1000","1","Kenan Işık'ın kim 500 milyar ister adlı programında yarışmacıya sorduğu son soru neydi?","2012-11-14 11:39:15","Son kararınız mı?","One Minute","Başlayalım mı?","İyi misiniz?","A","0"
"1001","1","'Tango' kaç kişiyle yapılır?","2012-11-14 11:39:15","1","2","3","4","B","0"
"1002","1","Dört yapraklısının şans getirdiğine inanılan bitki türü hangisidir?","2012-11-14 11:39:15","Yonca","Papatya","Yasemin","Orkide","A","0"
"1003","1","Sağını solunu karıştıranlar için hatırlatma olarak kullanılan bitkiler hangileridir?","2012-11-14 11:39:15","Soğan-salatalık","Soğan-sarımsak","Sarımsak-salatalık","Sarımsak-susam","B","0"
"1004","1","Çıkılan bir yemekte herkesin kendi hesabını ödemesi usulüne ne ad verilir?","2012-11-14 11:39:15","Japon","Alman","Fransız","İngiliz","B","0"
"1005","1","Midye dolma yenilirken yanında ne ikram edilir?","2012-11-14 11:39:15","Karabiber","Limon","Sirke","Yoğurt","B","0"
"1006","1","Saygı belirtmek için 'hazır ol' durumunda kaç saniye beklenir?","2012-11-14 11:39:15","15","30","60","90","C","0"
"1007","1","Külkedisi'nin baloya gidebilmesi için, perinin, 6 adet ata dönüştürdüğü hayvan hangisidir?","2012-11-14 11:39:15","Kurbağa","Domuz","Fare","Tavşan","C","0"
"1008","1","Dini inanışa göre, yeni doğan bebeğin adı kulağına kaç kez söylenir?","2012-11-14 11:39:16","1","3","5","7","B","0"
"1009","1","Aşağıdaki giysi bedenlerinden en küçük olanı hangisidir?","2012-11-14 11:39:16","M","S","L","XL","B","0"
"1010","1","Halk edebiyatımızda uzun boyu anlatmak için kullanılan ağaç türü hangisidir?","2012-11-14 11:39:16","Çınar","Sedir","Ardıç","Selvi","D","0"
"1011","1","İstiklal Marşı ilk hangi sözcükle başlar?","2012-11-14 11:39:16","Korkma","Çatma","Türküm","İstiklal","A","0"
"1012","1","Dini inanışa göre 'yasak meyve' hangisidir?","2012-11-14 11:39:16","Üzüm","Nar","Hurma","Elma","D","0"
"1013","1","'ATV'nin logo rengi nedir?","2012-11-14 11:39:16","Turuncu","Mor","Kırmızı","Yeşil","A","0"
"1014","1","Bir iddia yöntemi olarak bilinen 'yazı-tura' hangi cismin yardımıyla kullanılır?","2012-11-14 11:39:16","Taş","Zar","Madeni para","İskambil kağıdı","C","0"
"1015","1","Karışık, düzensiz yazılarla dolu defterler için kullanılan benzetme hangisidir?","2012-11-14 11:39:16","Doktor defteri","Bakkal defteri","Vergi defteri","Seyir defteri","B","0"
"1016","1","Çocuklar için soğuk su katılarak hazırlanan, çok açık ve ılık, çaya ne ad verilir?","2012-11-14 11:39:16","Tavşan kanı","Kant","Paşa çayı","Sütlü çay","C","0"
"1017","1","Karlı veya soğuk havalarda buzlanmayı engelleme amaçlı yollara dökülen madde nedir?","2012-11-14 11:39:16","Zift","Tuz","Şeker","Çakıl","B","0"
"1018","1","Denizin dalgasız ve durgun olma hali nasıl tanımlanır?","2012-11-14 11:39:16","Çarşaf gibi","Limonata gibi","Çivi gibi","Cam gibi","A","0"
"1019","1","Bir veya daha çok milyonu olan kimseye ne denir?","2012-11-14 11:39:16","Milyoner","Cömert","Fakir","Cimri","A","0"
"1020","1","Karadeniz yaylalarında horon denince akla gelen enstrüman hangisidir?","2012-11-14 11:39:16","Kemençe","Zurna","Bağlama","Ney","A","0"
"1021","1","İnce, uzun ve narin boyunlu kişiler, hangi hayvana benzetilir?","2012-11-14 11:39:16","Keçi","Zürafa","Papağan","Kuğu","D","0"
"1022","1","Bodrum'un beyaz evlerini eşsiz rengiyle süsleyen, Bodrum ile bütünleşmi çiçek hangisidir?","2012-11-14 11:39:16","Kamelya","Hanımeli","Papatya","Begonvil","D","0"
"1023","1","Esnafların sabah yaptıkları ilk satışa ne denir?","2012-11-14 11:39:16","Siftah","Takas","Bereket","Veresiye","A","0"
"1024","1","Su, şeker ve limon suyundan yapılan şerbete ne denir?","2012-11-14 11:39:16","Çay","Limonata","Kola","Hiçbiri","B","0"
"1025","1","Yılın en sıcak mevsimi hangisidir?","2012-11-14 11:39:17","İlkbahar","Yaz","Kış","Sonbahar","B","0"
"1026","1","Canavarı olduğu iddia edilen gölümüz hangisidir?","2012-11-14 11:39:17","Van","Sapanca","Gölbaşı","Tuz","A","0"
"1027","1","Bir yıl kaç mevsimdir?","2012-11-14 11:39:17","7","12","52","4","D","0"
"1028","1","Hangisinde heceler yanlış ayrılmıştır?","2012-11-14 11:39:17","Ben - im","Ke - di","Ter - lik","Ar - ka - daş","A","0"
"1029","1","Ayakkabı çekeceğine ne ad verilir?","2012-11-14 11:39:17","Takatuka","Havan","Kerata","Serpuş","C","0"
"1030","1","'İmkan' kelimesinin eş anlamlısı hangisidir?","2012-11-14 11:39:17","Olanak","Mümkünat","Muhtemeliyat","Olabilirlik","A","0"
"1031","1","Masallarda kurnaz olarak sunulan hayvan hangisidir?","2012-11-14 11:39:17","Penguen","İnek","Karga","Tilki","D","0"
"1032","1","Suyu toplama, sulama ve elektrik üretme amacıyla akarsu üzerine yapılan yapının adı nedir?","2012-11-14 11:39:17","Hortum","Baraj","Köprü","Plaj","B","0"
